unique_subj_id,modalities
dADNI_s00327,t1w
dADNI_s00328,t1w
dADNI_s00329,t1w
dADNI_s00330,t1w
dADNI_s00331,t1w_flair_bold
dADNI_s00332,t1w_flair_bold
dADNI_s00333,t1w_flair_bold
dADNI_s00334,t1w_flair_bold
dADNI_s00335,t1w_flair_bold
dADNI_s00336,t1w_flair_bold
dADNI_s00337,t1w_flair_bold
dADNI_s00338,t1w_flair_bold
dADNI_s00339,t1w_flair_bold
dADNI_s00340,t1w_flair_bold
dADNI_s00341,t1w_flair_bold
dADNI_s00342,t1w_flair_bold
dADNI_s00343,t1w_flair_bold
dADNI_s00344,t1w_flair_bold
dADNI_s00345,t1w_flair_bold
dADNI_s00346,t1w_flair_bold
dADNI_s00347,t1w_flair_bold
dADNI_s00348,t1w_flair_bold
dADNI_s00349,t1w_flair_bold
dADNI_s00350,t1w_flair_bold
dADNI_s00351,t1w_flair_bold
dADNI_s00352,t1w_flair_bold
dADNI_s00353,t1w_flair_bold
dADNI_s00354,t1w_flair_bold
dADNI_s00355,t1w_flair_bold
dADNI_s00356,t1w_flair_bold
dADNI_s00357,t1w_flair_bold
dADNI_s00358,t1w_flair_bold
dADNI_s00359,t1w_flair_bold
dADNI_s00360,t1w
dADNI_s00361,t1w
dADNI_s00362,t1w
dADNI_s00363,t1w
dADNI_s00364,t1w
dADNI_s00365,t1w_flair
dADNI_s00366,t1w_flair_dti_bold
dADNI_s00367,t1w
dADNI_s00368,t1w
dADNI_s00369,t1w_flair_dti_bold
dADNI_s00370,t1w
dADNI_s00371,t1w
dADNI_s00372,t1w
dADNI_s00373,t1w
dADNI_s00374,t1w_flair_dti_bold
dADNI_s00375,t1w
dADNI_s00376,t1w
dADNI_s00377,t1w_flair_dti_bold
dADNI_s00378,t1w
dADNI_s00379,t1w
dADNI_s00380,t1w
dADNI_s00381,t1w
dADNI_s00382,t1w
dADNI_s00383,t1w_flair_dti
dADNI_s00384,t1w_flair_dti
dADNI_s00385,t1w_flair_dti
dADNI_s00386,t1w_flair_dti
dADNI_s00387,t1w_flair_dti
dADNI_s00388,t1w_flair_dti
dADNI_s00389,t1w_flair_dti
dADNI_s00390,t1w_flair_dti
dADNI_s00391,t1w_flair_dti_bold
dADNI_s00392,t1w_flair_dti_bold
dADNI_s00393,t1w_flair_dti
dADNI_s00394,t1w_flair_dti_bold
dADNI_s00395,t1w_flair_dti
dADNI_s00396,t1w_flair
dADNI_s00397,t1w_flair_dti_bold
dADNI_s00398,t1w_flair_dti
dADNI_s00399,t1w_flair_dti
dADNI_s00400,t1w_flair_dti
dADNI_s00401,t1w_flair_dti_bold
dADNI_s00402,t1w_flair_dti_bold
dADNI_s00403,t1w
dADNI_s00404,t1w
dADNI_s00405,t1w
dADNI_s00406,t1w
dADNI_s00407,t1w
dADNI_s00408,t1w
dADNI_s00409,t1w
dADNI_s00410,t1w
dADNI_s00411,t1w
dADNI_s00412,t1w
dADNI_s00413,t1w
dADNI_s00414,t1w
dADNI_s00415,t1w
dADNI_s00416,t1w
dADNI_s00417,t1w
dADNI_s00418,t1w
dADNI_s00419,t1w
dADNI_s00420,t1w
dADNI_s00421,t1w_flair
dADNI_s00422,t1w_flair
dADNI_s00423,t1w_flair_dti_bold
dADNI_s00424,t1w_flair_dti_bold
dADNI_s00425,t1w_flair
dADNI_s00426,t1w_flair
dADNI_s00427,t1w_flair
dADNI_s00428,t1w_flair
dADNI_s00429,t1w_flair
dADNI_s00430,t1w_flair
dADNI_s00431,t1w_flair
dADNI_s00432,t1w_flair_dti_bold
dADNI_s00433,t1w
dADNI_s00434,t1w
dADNI_s00435,t1w
dADNI_s00436,t1w
dADNI_s00437,t1w
dADNI_s00438,t1w
dADNI_s00439,t1w
dADNI_s00440,t1w
dADNI_s00441,t1w
dADNI_s00442,t1w
dADNI_s00443,t1w
dADNI_s00444,t1w
dADNI_s00445,t1w
dADNI_s00446,t1w
dADNI_s00447,t1w
dADNI_s00448,t1w
dADNI_s00449,t1w
dADNI_s00450,t1w
dADNI_s00451,t1w
dADNI_s00452,t1w
dADNI_s00453,t1w
dADNI_s00454,t1w
dADNI_s00455,t1w
dADNI_s00456,t1w
dADNI_s00457,t1w
dADNI_s00458,t1w
dADNI_s00459,t1w
dADNI_s00460,t1w
dADNI_s00461,t1w
dADNI_s00462,t1w_flair
dADNI_s00463,t1w_flair
dADNI_s00464,t1w_flair
dADNI_s00465,t1w_flair_dti_bold
dADNI_s00466,t1w_flair_dti_bold
dADNI_s00467,t1w_flair
dADNI_s00468,t1w_flair
dADNI_s00469,t1w_flair_dti_bold
dADNI_s00470,t1w_flair
dADNI_s00471,t1w_flair_bold
